iteration,cycles,instructions,cache-misses,branch-misses,page-faults,context-switches,cpu-migrations
430,115055797,179539418,239230,556310,2502,64,2
431,111475085,179559215,217786,549890,2496,68,3
432,120479700,179331791,228746,547525,2492,64,6
433,114912393,179952040,219123,546150,2500,68,7
434,118019425,180016865,250327,543812,2520,64,4
435,114814376,179628245,241907,544557,2498,66,5
436,114483462,180039693,215106,552850,2499,64,6
437,114873725,180079775,215612,556155,2522,67,8
438,117720761,180041539,236366,545631,2521,64,7
439,114057350,179669137,231167,547479,2499,64,5
440,115848471,179853518,230646,547266,2501,64,2
441,116761280,179736010,233139,546367,2492,64,4
442,121039084,179887848,232747,555987,2536,65,0
443,121743203,179754683,226618,563788,2498,66,8
444,112961614,180032436,223463,544263,2513,64,5
445,117751614,180412532,238157,556554,2529,69,4
446,119303593,180130853,241455,560348,2498,68,6
447,113374676,179206099,233909,543745,2491,68,1
448,112608311,179964289,205260,547142,2501,66,0
449,111613260,179700259,213147,562963,2498,66,1
450,127876987,180282713,293628,558694,2524,79,7
451,111799621,179110187,206310,551313,2494,65,1
452,120758310,179869903,219790,541777,2502,64,4
453,112769801,179606708,206344,539542,2497,68,2
454,117810639,179486704,216486,550889,2494,62,6
455,113497148,179917370,208290,543826,2506,64,5
456,117301046,179617975,221263,550852,2490,69,6
457,115729020,180343318,225756,538934,2528,66,6
458,111231036,179318068,196815,552069,2498,67,8
459,115431644,179931273,211363,552514,2530,64,1
460,113516736,180073014,211737,535736,2518,64,4
461,113068612,179724067,215927,538666,2509,69,3
462,114860131,179380572,212934,556750,2504,67,4
463,114312112,180013111,225786,546801,2501,66,4
464,113229593,180127146,216787,530905,2514,71,6
465,120295622,180205074,214163,558653,2523,71,10
466,118027032,179952607,221465,555808,2532,65,7
467,116585958,179635811,219066,558883,2498,64,6
468,115840578,179852909,242867,552991,2515,68,5
469,115035926,179201815,196673,547542,2502,67,7
470,116368673,179402774,193376,559170,2501,66,6
471,116462990,179513440,219044,553784,2489,64,6
472,113873703,179172450,235610,547525,2498,64,7
473,115630080,180559520,227318,542467,2516,66,3
474,109941084,179958695,231400,552671,2504,64,4
475,115090686,179775200,213131,552834,2496,68,3
476,114830246,180056522,226977,548314,2497,64,2
477,114100795,179631440,191510,559865,2505,68,5
478,117678248,179528132,201381,545119,2495,68,4
479,115503746,179593299,242376,543689,2486,64,3
480,114849747,180001407,227556,551039,2539,65,6
